"name","id","base_experience"
"bulbasaur",1,64
"ivysaur",2,142
"venusaur",3,263
"charmander",4,62
"charmeleon",5,142
"charizard",6,267
"squirtle",7,63
"wartortle",8,142
"blastoise",9,265
"caterpie",10,39
"metapod",11,72
"butterfree",12,198
"weedle",13,39
"kakuna",14,72
"beedrill",15,178
"pidgey",16,50
"pidgeotto",17,122
"pidgeot",18,216
"rattata",19,51
"raticate",20,145
"spearow",21,52
"fearow",22,155
"ekans",23,58
"arbok",24,157
"pikachu",25,112
"raichu",26,243
"sandshrew",27,60
"sandslash",28,158
"nidoran-f",29,55
"nidorina",30,128
"nidoqueen",31,253
"nidoran-m",32,55
"nidorino",33,128
"nidoking",34,253
"clefairy",35,113
"clefable",36,242
"vulpix",37,60
"ninetales",38,177
"jigglypuff",39,95
"wigglytuff",40,218
"zubat",41,49
"golbat",42,159
"oddish",43,64
"gloom",44,138
"vileplume",45,245
"paras",46,57
"parasect",47,142
"venonat",48,61
"venomoth",49,158
"diglett",50,53
"dugtrio",51,149
"meowth",52,58
"persian",53,154
"psyduck",54,64
"golduck",55,175
"mankey",56,61
"primeape",57,159
"growlithe",58,70
"arcanine",59,194
"poliwag",60,60
"poliwhirl",61,135
"poliwrath",62,255
"abra",63,62
"kadabra",64,140
"alakazam",65,250
"machop",66,61
"machoke",67,142
"machamp",68,253
"bellsprout",69,60
"weepinbell",70,137
"victreebel",71,221
"tentacool",72,67
"tentacruel",73,180
"geodude",74,60
"graveler",75,137
"golem",76,223
"ponyta",77,82
"rapidash",78,175
"slowpoke",79,63
"slowbro",80,172
"magnemite",81,65
"magneton",82,163
"farfetchd",83,132
"doduo",84,62
"dodrio",85,165
"seel",86,65
"dewgong",87,166
"grimer",88,65
"muk",89,175
"shellder",90,61
"cloyster",91,184
"gastly",92,62
"haunter",93,142
"gengar",94,250
"onix",95,77
"drowzee",96,66
"hypno",97,169
"krabby",98,65
"kingler",99,166
"voltorb",100,66
"electrode",101,172
"exeggcute",102,65
"exeggutor",103,186
"cubone",104,64
"marowak",105,149
"hitmonlee",106,159
"hitmonchan",107,159
"lickitung",108,77
"koffing",109,68
"weezing",110,172
"rhyhorn",111,69
"rhydon",112,170
"chansey",113,395
"tangela",114,87
"kangaskhan",115,172
"horsea",116,59
"seadra",117,154
"goldeen",118,64
"seaking",119,158
"staryu",120,68
"starmie",121,182
"mr-mime",122,161
"scyther",123,100
"jynx",124,159
"electabuzz",125,172
"magmar",126,173
"pinsir",127,175
"tauros",128,172
"magikarp",129,40
"gyarados",130,189
"lapras",131,187
"ditto",132,101
"eevee",133,65
"vaporeon",134,184
"jolteon",135,184
"flareon",136,184
"porygon",137,79
"omanyte",138,71
"omastar",139,173
"kabuto",140,71
"kabutops",141,173
"aerodactyl",142,180
"snorlax",143,189
"articuno",144,290
"zapdos",145,290
"moltres",146,290
"dratini",147,60
"dragonair",148,147
"dragonite",149,300
"mewtwo",150,340
"mew",151,300
"chikorita",152,64
"bayleef",153,142
"meganium",154,236
"cyndaquil",155,62
"quilava",156,142
"typhlosion",157,240
"totodile",158,63
"croconaw",159,142
"feraligatr",160,239
"sentret",161,43
"furret",162,145
"hoothoot",163,52
"noctowl",164,158
"ledyba",165,53
"ledian",166,137
"spinarak",167,50
"ariados",168,140
"crobat",169,268
"chinchou",170,66
"lanturn",171,161
"pichu",172,41
"cleffa",173,44
"igglybuff",174,42
"togepi",175,49
"togetic",176,142
"natu",177,64
"xatu",178,165
"mareep",179,56
"flaaffy",180,128
"ampharos",181,230
"bellossom",182,245
"marill",183,88
"azumarill",184,210
"sudowoodo",185,144
"politoed",186,250
"hoppip",187,50
"skiploom",188,119
"jumpluff",189,207
"aipom",190,72
"sunkern",191,36
"sunflora",192,149
"yanma",193,78
"wooper",194,42
"quagsire",195,151
"espeon",196,184
"umbreon",197,184
"murkrow",198,81
"slowking",199,172
"misdreavus",200,87
"unown",201,118
"wobbuffet",202,142
"girafarig",203,159
"pineco",204,58
"forretress",205,163
"dunsparce",206,145
"gligar",207,86
"steelix",208,179
"snubbull",209,60
"granbull",210,158
"qwilfish",211,88
"scizor",212,175
"shuckle",213,177
"heracross",214,175
"sneasel",215,86
"teddiursa",216,66
"ursaring",217,175
"slugma",218,50
"magcargo",219,151
"swinub",220,50
"piloswine",221,158
"corsola",222,144
"remoraid",223,60
"octillery",224,168
"delibird",225,116
"mantine",226,170
"skarmory",227,163
"houndour",228,66
"houndoom",229,175
"kingdra",230,270
"phanpy",231,66
"donphan",232,175
"porygon2",233,180
"stantler",234,163
"smeargle",235,88
"tyrogue",236,42
"hitmontop",237,159
"smoochum",238,61
"elekid",239,72
"magby",240,73
"miltank",241,172
"blissey",242,635
"raikou",243,290
"entei",244,290
"suicune",245,290
"larvitar",246,60
"pupitar",247,144
"tyranitar",248,300
"lugia",249,340
"ho-oh",250,340
"celebi",251,300
"treecko",252,62
"grovyle",253,142
"sceptile",254,265
"torchic",255,62
"combusken",256,142
"blaziken",257,265
"mudkip",258,62
"marshtomp",259,142
"swampert",260,268
"poochyena",261,56
"mightyena",262,147
"zigzagoon",263,56
"linoone",264,147
"wurmple",265,56
"silcoon",266,72
"beautifly",267,178
"cascoon",268,72
"dustox",269,173
"lotad",270,44
"lombre",271,119
"ludicolo",272,240
"seedot",273,44
"nuzleaf",274,119
"shiftry",275,240
"taillow",276,54
"swellow",277,159
"wingull",278,54
"pelipper",279,154
"ralts",280,40
"kirlia",281,97
"gardevoir",282,259
"surskit",283,54
"masquerain",284,159
"shroomish",285,59
"breloom",286,161
"slakoth",287,56
"vigoroth",288,154
"slaking",289,252
"nincada",290,53
"ninjask",291,160
"shedinja",292,83
"whismur",293,48
"loudred",294,126
"exploud",295,245
"makuhita",296,47
"hariyama",297,166
"azurill",298,38
"nosepass",299,75
"skitty",300,52
"delcatty",301,140
"sableye",302,133
"mawile",303,133
"aron",304,66
"lairon",305,151
"aggron",306,265
"meditite",307,56
"medicham",308,144
"electrike",309,59
"manectric",310,166
"plusle",311,142
"minun",312,142
"volbeat",313,151
"illumise",314,151
"roselia",315,140
"gulpin",316,60
"swalot",317,163
"carvanha",318,61
"sharpedo",319,161
"wailmer",320,80
"wailord",321,175
"numel",322,61
"camerupt",323,161
"torkoal",324,165
"spoink",325,66
"grumpig",326,165
"spinda",327,126
"trapinch",328,58
"vibrava",329,119
"flygon",330,260
"cacnea",331,67
"cacturne",332,166
"swablu",333,62
"altaria",334,172
"zangoose",335,160
"seviper",336,160
"lunatone",337,161
"solrock",338,161
"barboach",339,58
"whiscash",340,164
"corphish",341,62
"crawdaunt",342,164
"baltoy",343,60
"claydol",344,175
"lileep",345,71
"cradily",346,173
"anorith",347,71
"armaldo",348,173
"feebas",349,40
"milotic",350,189
"castform",351,147
"kecleon",352,154
"shuppet",353,59
"banette",354,159
"duskull",355,59
"dusclops",356,159
"tropius",357,161
"chimecho",358,159
"absol",359,163
"wynaut",360,52
"snorunt",361,60
"glalie",362,168
"spheal",363,58
"sealeo",364,144
"walrein",365,265
"clamperl",366,69
"huntail",367,170
"gorebyss",368,170
"relicanth",369,170
"luvdisc",370,116
"bagon",371,60
"shelgon",372,147
"salamence",373,300
"beldum",374,60
"metang",375,147
"metagross",376,300
"regirock",377,290
"regice",378,290
"registeel",379,290
"latias",380,300
"latios",381,300
"kyogre",382,335
"groudon",383,335
"rayquaza",384,340
"jirachi",385,300
"deoxys-normal",386,270
"turtwig",387,64
"grotle",388,142
"torterra",389,236
"chimchar",390,62
"monferno",391,142
"infernape",392,240
"piplup",393,63
"prinplup",394,142
"empoleon",395,239
"starly",396,49
"staravia",397,119
"staraptor",398,218
"bidoof",399,50
"bibarel",400,144
"kricketot",401,39
"kricketune",402,134
"shinx",403,53
"luxio",404,127
"luxray",405,262
"budew",406,56
"roserade",407,258
"cranidos",408,70
"rampardos",409,173
"shieldon",410,70
"bastiodon",411,173
"burmy",412,45
"wormadam-plant",413,148
"mothim",414,148
"combee",415,49
"vespiquen",416,166
"pachirisu",417,142
"buizel",418,66
"floatzel",419,173
"cherubi",420,55
"cherrim",421,158
"shellos",422,65
"gastrodon",423,166
"ambipom",424,169
"drifloon",425,70
"drifblim",426,174
"buneary",427,70
"lopunny",428,168
"mismagius",429,173
"honchkrow",430,177
"glameow",431,62
"purugly",432,158
"chingling",433,57
"stunky",434,66
"skuntank",435,168
"bronzor",436,60
"bronzong",437,175
"bonsly",438,58
"mime-jr",439,62
"happiny",440,110
"chatot",441,144
"spiritomb",442,170
"gible",443,60
"gabite",444,144
"garchomp",445,300
"munchlax",446,78
"riolu",447,57
"lucario",448,184
"hippopotas",449,66
"hippowdon",450,184
"skorupi",451,66
"drapion",452,175
"croagunk",453,60
"toxicroak",454,172
"carnivine",455,159
"finneon",456,66
"lumineon",457,161
"mantyke",458,69
"snover",459,67
"abomasnow",460,173
"weavile",461,179
"magnezone",462,268
"lickilicky",463,180
"rhyperior",464,268
"tangrowth",465,187
"electivire",466,270
"magmortar",467,270
"togekiss",468,273
"yanmega",469,180
"leafeon",470,184
"glaceon",471,184
"gliscor",472,179
"mamoswine",473,265
"porygon-z",474,268
"gallade",475,259
"probopass",476,184
"dusknoir",477,263
"froslass",478,168
"rotom",479,154
"uxie",480,290
"mesprit",481,290
"azelf",482,290
"dialga",483,340
"palkia",484,340
"heatran",485,300
"regigigas",486,335
"giratina-altered",487,340
"cresselia",488,300
"phione",489,216
"manaphy",490,270
"darkrai",491,270
"shaymin-land",492,270
"arceus",493,324
"victini",494,300
"snivy",495,62
"servine",496,145
"serperior",497,238
"tepig",498,62
"pignite",499,146
"emboar",500,238
"oshawott",501,62
"dewott",502,145
"samurott",503,238
"patrat",504,51
"watchog",505,147
"lillipup",506,55
"herdier",507,130
"stoutland",508,250
"purrloin",509,56
"liepard",510,156
"pansage",511,63
"simisage",512,174
"pansear",513,63
"simisear",514,174
"panpour",515,63
"simipour",516,174
"munna",517,58
"musharna",518,170
"pidove",519,53
"tranquill",520,125
"unfezant",521,244
"blitzle",522,59
"zebstrika",523,174
"roggenrola",524,56
"boldore",525,137
"gigalith",526,258
"woobat",527,65
"swoobat",528,149
"drilbur",529,66
"excadrill",530,178
"audino",531,390
"timburr",532,61
"gurdurr",533,142
"conkeldurr",534,253
"tympole",535,59
"palpitoad",536,134
"seismitoad",537,255
"throh",538,163
"sawk",539,163
"sewaddle",540,62
"swadloon",541,133
"leavanny",542,225
"venipede",543,52
"whirlipede",544,126
"scolipede",545,243
"cottonee",546,56
"whimsicott",547,168
"petilil",548,56
"lilligant",549,168
"basculin-red-striped",550,161
"sandile",551,58
"krokorok",552,123
"krookodile",553,260
"darumaka",554,63
"darmanitan-standard",555,168
"maractus",556,161
"dwebble",557,65
"crustle",558,170
"scraggy",559,70
"scrafty",560,171
"sigilyph",561,172
"yamask",562,61
"cofagrigus",563,169
"tirtouga",564,71
"carracosta",565,173
"archen",566,71
"archeops",567,177
"trubbish",568,66
"garbodor",569,166
"zorua",570,66
"zoroark",571,179
"minccino",572,60
"cinccino",573,165
"gothita",574,58
"gothorita",575,137
"gothitelle",576,245
"solosis",577,58
"duosion",578,130
"reuniclus",579,245
"ducklett",580,61
"swanna",581,166
"vanillite",582,61
"vanillish",583,138
