"pokemon_id","version_group_id","move_id","pokemon_move_method_id","level","order"
1,18,14,4,0,""
1,18,20,3,0,""
1,18,22,1,9,""
1,18,33,1,1,""
1,18,36,1,15,""
1,18,38,1,27,""
1,18,45,1,3,""
1,18,73,1,7,""
1,18,74,1,25,""
1,18,75,1,19,""
1,18,76,4,0,""
1,18,77,1,13,1.0
1,18,79,1,13,2.0
1,18,80,2,0,""
1,18,92,4,0,""
1,18,104,4,0,""
1,18,113,4,0,""
1,18,124,2,0,""
1,18,130,2,0,""
1,18,133,2,0,""
1,18,156,4,0,""
1,18,164,4,0,""
1,18,173,3,0,""
1,18,174,2,0,""
1,18,182,4,0,""
1,18,188,4,0,""
1,18,202,2,0,""
1,18,202,3,0,""
1,18,203,2,0,""
1,18,204,2,0,""
1,18,207,4,0,""
1,18,213,4,0,""
1,18,214,4,0,""
1,18,216,4,0,""
1,18,218,4,0,""
1,18,219,4,0,""
1,18,230,1,21,""
1,18,235,1,33,""
1,18,235,3,0,""
1,18,237,4,0,""
1,18,241,4,0,""
1,18,263,4,0,""
1,18,267,2,0,""
1,18,267,4,0,""
1,18,275,2,0,""
1,18,282,3,0,""
1,18,320,2,0,""
1,18,345,2,0,""
1,18,388,1,31,""
1,18,388,3,0,""
1,18,402,1,37,""
1,18,402,3,0,""
1,18,412,4,0,""
1,18,437,2,0,""
1,18,438,2,0,""
1,18,447,4,0,""
1,18,474,4,0,""
1,18,496,4,0,""
1,18,497,4,0,""
1,18,520,3,0,""
1,18,526,4,0,""
1,18,580,2,0,""
1,18,590,4,0,""
2,18,14,4,0,""
2,18,20,3,0,""
2,18,22,1,9,""
2,18,33,1,1,1.0
2,18,36,1,15,""
2,18,38,1,31,""
2,18,45,1,1,2.0
2,18,45,1,3,""
2,18,73,1,1,3.0
2,18,73,1,7,""
2,18,74,1,28,""
2,18,75,1,20,""
2,18,76,1,44,""
2,18,76,4,0,""
2,18,77,1,13,1.0
2,18,79,1,13,2.0
2,18,92,4,0,""
2,18,104,4,0,""
2,18,113,4,0,""
2,18,156,4,0,""
2,18,164,4,0,""
2,18,173,3,0,""
2,18,182,4,0,""
2,18,188,4,0,""
2,18,202,3,0,""
2,18,207,4,0,""
2,18,213,4,0,""
2,18,214,4,0,""
2,18,216,4,0,""
2,18,218,4,0,""
2,18,219,4,0,""
2,18,230,1,23,""
2,18,235,1,39,""
2,18,235,3,0,""
2,18,237,4,0,""
2,18,241,4,0,""
2,18,263,4,0,""
2,18,267,4,0,""
2,18,282,3,0,""
2,18,388,1,36,""
2,18,388,3,0,""
2,18,402,3,0,""
2,18,412,4,0,""
2,18,447,4,0,""
2,18,474,4,0,""
2,18,496,4,0,""
2,18,497,4,0,""
2,18,520,3,0,""
2,18,526,4,0,""
2,18,590,4,0,""
3,18,14,4,0,""
3,18,20,3,0,""
3,18,22,1,1,5.0
3,18,22,1,9,""
3,18,33,1,1,2.0
3,18,36,1,15,""
3,18,38,1,31,""
3,18,45,1,1,3.0
3,18,45,1,3,""
3,18,46,4,0,""
3,18,63,4,0,""
3,18,73,1,1,4.0
3,18,73,1,7,""
3,18,74,1,28,""
3,18,75,1,20,""
3,18,76,1,53,""
3,18,76,4,0,""
3,18,77,1,13,1.0
3,18,79,1,13,2.0
3,18,80,1,0,""
3,18,80,1,1,1.0
3,18,89,4,0,""
3,18,92,4,0,""
3,18,104,4,0,""
3,18,113,4,0,""
3,18,156,4,0,""
3,18,164,4,0,""
3,18,173,3,0,""
3,18,182,4,0,""
3,18,188,4,0,""
3,18,200,3,0,""
3,18,202,3,0,""
3,18,207,4,0,""
3,18,213,4,0,""
3,18,214,4,0,""
3,18,216,4,0,""
3,18,218,4,0,""
3,18,219,4,0,""
3,18,230,1,23,""
3,18,235,1,45,""
3,18,235,3,0,""
3,18,237,4,0,""
3,18,241,4,0,""
3,18,263,4,0,""
3,18,267,4,0,""
3,18,282,3,0,""
3,18,335,3,0,""
3,18,338,3,0,""
3,18,388,1,39,""
3,18,388,3,0,""
3,18,402,3,0,""
3,18,412,4,0,""
3,18,416,4,0,""
3,18,447,4,0,""
3,18,474,4,0,""
3,18,496,4,0,""
3,18,497,4,0,""
3,18,520,3,0,""
3,18,523,4,0,""
3,18,526,4,0,""
3,18,572,1,50,""
3,18,590,4,0,""
3,18,707,3,0,""
4,18,7,3,0,""
4,18,9,3,0,""
4,18,10,1,1,1.0
4,18,14,4,0,""
4,18,44,2,0,""
4,18,45,1,1,2.0
4,18,52,1,7,""
4,18,53,1,37,""
4,18,53,4,0,""
4,18,68,2,0,""
4,18,82,1,16,""
4,18,83,1,43,""
4,18,92,4,0,""
4,18,104,4,0,""
4,18,108,1,10,""
4,18,126,4,0,""
4,18,156,4,0,""
4,18,157,4,0,""
4,18,163,1,34,""
4,18,164,4,0,""
4,18,173,3,0,""
4,18,182,4,0,""
4,18,184,1,19,""
4,18,187,2,0,""
4,18,200,2,0,""
4,18,207,4,0,""
4,18,213,4,0,""
4,18,214,4,0,""
4,18,216,4,0,""
4,18,218,4,0,""
4,18,231,3,0,""
4,18,232,2,0,""
4,18,237,4,0,""
4,18,241,4,0,""
4,18,242,2,0,""
4,18,246,2,0,""
4,18,251,2,0,""
4,18,257,3,0,""
4,18,261,4,0,""
4,18,263,4,0,""
4,18,264,2,0,""
4,18,264,3,0,""
4,18,280,4,0,""
4,18,314,2,0,""
4,18,315,4,0,""
4,18,317,4,0,""
4,18,332,4,0,""
4,18,337,4,0,""
4,18,349,2,0,""
4,18,374,4,0,""
4,18,394,2,0,""
4,18,406,2,0,""
4,18,406,3,0,""
4,18,407,2,0,""
4,18,421,4,0,""
4,18,424,1,25,""
4,18,481,1,28,""
4,18,488,4,0,""
4,18,496,4,0,""
4,18,497,4,0,""
4,18,517,1,46,""
4,18,519,3,0,""
4,18,526,4,0,""
4,18,590,4,0,""
5,18,7,3,0,""
5,18,9,3,0,""
5,18,10,1,1,1.0
5,18,14,4,0,""
5,18,45,1,1,2.0
5,18,52,1,1,3.0
5,18,52,1,7,""
5,18,53,1,43,""
5,18,53,4,0,""
5,18,82,1,17,""
5,18,83,1,50,""
5,18,92,4,0,""
5,18,104,4,0,""
5,18,108,1,10,""
5,18,126,4,0,""
5,18,156,4,0,""
5,18,157,4,0,""
5,18,163,1,39,""
5,18,164,4,0,""
5,18,173,3,0,""
5,18,182,4,0,""
5,18,184,1,21,""
5,18,207,4,0,""
5,18,213,4,0,""
5,18,214,4,0,""
5,18,216,4,0,""
5,18,218,4,0,""
5,18,231,3,0,""
5,18,237,4,0,""
5,18,241,4,0,""
5,18,257,3,0,""
5,18,261,4,0,""
5,18,263,4,0,""
5,18,264,3,0,""
5,18,280,4,0,""
5,18,315,4,0,""
5,18,317,4,0,""
5,18,332,4,0,""
5,18,337,4,0,""
5,18,374,4,0,""
5,18,406,3,0,""
5,18,421,4,0,""
5,18,424,1,28,""
5,18,481,1,32,""
5,18,488,4,0,""
5,18,496,4,0,""
5,18,497,4,0,""
5,18,517,1,54,""
5,18,519,3,0,""
5,18,526,4,0,""
5,18,590,4,0,""
6,18,7,3,0,""
6,18,9,3,0,""
6,18,10,1,1,7.0
6,18,14,4,0,""
6,18,17,1,0,""
6,18,17,1,1,1.0
6,18,19,4,0,""
6,18,45,1,1,8.0
6,18,46,4,0,""
6,18,52,1,1,9.0
6,18,52,1,7,""
6,18,53,1,47,""
6,18,53,4,0,""
6,18,63,4,0,""
6,18,76,4,0,""
6,18,82,1,17,""
6,18,83,1,56,""
6,18,89,4,0,""
6,18,92,4,0,""
6,18,104,4,0,""
6,18,108,1,10,""
6,18,126,4,0,""
6,18,156,4,0,""
6,18,157,4,0,""
6,18,163,1,41,""
6,18,164,4,0,""
6,18,173,3,0,""
6,18,182,4,0,""
6,18,184,1,21,""
6,18,200,3,0,""
6,18,207,4,0,""
6,18,211,4,0,""
6,18,213,4,0,""
6,18,214,4,0,""
6,18,216,4,0,""
6,18,218,4,0,""
6,18,231,3,0,""
6,18,237,4,0,""
6,18,241,4,0,""
6,18,257,1,1,3.0
6,18,257,1,71,""
6,18,257,3,0,""
6,18,261,4,0,""
6,18,263,4,0,""
6,18,264,3,0,""
6,18,280,4,0,""
6,18,307,3,0,""
6,18,315,4,0,""
6,18,317,4,0,""
6,18,332,4,0,""
6,18,337,1,1,4.0
6,18,337,4,0,""
6,18,355,4,0,""
6,18,366,3,0,""
6,18,374,4,0,""
6,18,394,1,1,2.0
6,18,394,1,77,""
6,18,403,1,1,6.0
6,18,406,3,0,""
6,18,411,4,0,""
6,18,416,4,0,""
6,18,421,1,1,5.0
6,18,421,4,0,""
6,18,424,1,28,""
6,18,432,3,0,""
6,18,481,1,32,""
6,18,488,4,0,""
6,18,496,4,0,""
6,18,497,4,0,""
6,18,507,4,0,""
6,18,517,1,62,""
6,18,519,3,0,""
6,18,523,4,0,""
6,18,525,4,0,""
6,18,526,4,0,""
6,18,590,4,0,""
6,18,693,4,0,""
7,18,8,3,0,""
7,18,33,1,1,""
7,18,39,1,4,""
7,18,44,1,16,""
7,18,54,2,0,""
7,18,55,1,7,""
7,18,56,1,40,""
7,18,57,4,0,""
7,18,58,4,0,""
7,18,59,4,0,""
7,18,92,4,0,""
7,18,104,4,0,""
7,18,110,1,10,""
7,18,114,2,0,""
7,18,127,4,0,""
7,18,130,1,31,""
7,18,145,1,13,""
7,18,156,4,0,""
7,18,164,4,0,""
7,18,173,3,0,""
7,18,175,2,0,""
7,18,182,1,22,""
7,18,182,4,0,""
7,18,193,2,0,""
7,18,196,3,0,""
7,18,207,4,0,""
7,18,213,4,0,""
7,18,214,4,0,""
7,18,216,4,0,""
7,18,218,4,0,""
7,18,229,1,19,""
7,18,231,3,0,""
7,18,237,4,0,""
7,18,240,1,37,""
7,18,240,4,0,""
7,18,243,2,0,""
7,18,252,2,0,""
7,18,258,4,0,""
7,18,263,4,0,""
7,18,264,3,0,""
7,18,280,4,0,""
7,18,281,2,0,""
7,18,287,2,0,""
7,18,300,2,0,""
7,18,317,4,0,""
7,18,323,2,0,""
7,18,330,2,0,""
7,18,334,1,34,""
7,18,334,3,0,""
7,18,352,1,25,""
7,18,352,3,0,""
7,18,360,4,0,""
7,18,362,2,0,""
7,18,374,4,0,""
7,18,392,2,0,""
7,18,396,2,0,""
7,18,401,1,28,""
7,18,401,3,0,""
7,18,406,2,0,""
7,18,406,3,0,""
7,18,428,3,0,""
7,18,453,2,0,""
7,18,496,4,0,""
7,18,503,4,0,""
7,18,518,3,0,""
7,18,526,4,0,""
7,18,590,4,0,""
8,18,8,3,0,""
8,18,33,1,1,1.0
